ledger_id,merchant_id,entry_sequence,timestamp,lifecycle_stage,event_type,payment_id,settlement_id,account_debited,account_credited,amount_inr,currency,balance_pending_settlement,balance_available_for_payout,balance_in_transit,balance_settled_cumulative,description
rled_0000011,acc_d2c__00884,1,2026-08-20T21:22:34Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00030044,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,96.03,INR,2114.69,4819.12,0.0,284129.6,MDR processing fee and 18% GST assessed on pay_00030044
rled_0000012,acc_kira_00238,1,2026-06-24T15:56:22Z,BANK_CREDIT,BANK_CREDIT_CONFIRMED_UTR,,setl_20260624_kira_0040134,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_BENEFICIARY_BANK,37106.19,INR,5206.42,17287.28,0.0,372063.47,Bank credit verified via RBI UTR confirmation
rled_0000013,acc_kira_00150,1,2026-07-29T14:14:51Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00031947,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,29.62,INR,11289.14,9179.87,0.0,315169.14,MDR processing fee and 18% GST assessed on pay_00031947
rled_0000014,acc_d2c__00687,1,2026-06-01T01:48:08Z,PAYOUT,NODAL_PAYOUT_DISPATCHED,,setl_20260601_d2c__0032205,MERCHANT_AVAILABLE_FOR_PAYOUT,NODAL_PAYOUT_IN_TRANSIT,5335.57,INR,2454.07,6884.07,5335.57,293281.33,Nodal transfer dispatched via NEFT/RTGS to Yes Bank
rled_0000015,acc_d2c__00095,1,2026-05-19T08:08:19Z,SETTLEMENT_BATCH,SETTLEMENT_CUTOFF_CLEARED,,setl_20260519_d2c__0034627,MERCHANT_PENDING_SETTLEMENT,MERCHANT_AVAILABLE_FOR_PAYOUT,6707.87,INR,5456.74,24830.51,0.0,166888.17,Cutoff batch setl_20260519_d2c__0034627 cleared funds to available merchant balance
rled_0000016,acc_quic_00972,1,2026-08-06T09:34:02Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00025137,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,2191.52,INR,4230.67,4950.02,0.0,141674.68,Gross customer payment captured via UPI/RuPay for pay_00025137
rled_0000017,acc_d2c__00548,1,2026-05-09T15:13:40Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00004583,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,153.32,INR,4708.86,8532.1,0.0,442565.19,MDR processing fee and 18% GST assessed on pay_00004583
rled_0000018,acc_d2c__00204,1,2026-04-07T06:45:00Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00049654,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,151.68,INR,9850.36,17359.04,0.0,153003.15,MDR processing fee and 18% GST assessed on pay_00049654
rled_0000019,acc_quic_00188,1,2026-03-14T01:30:49Z,BANK_CREDIT,BANK_CREDIT_CONFIRMED_UTR,,setl_20260314_quic_0010233,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_BENEFICIARY_BANK,4636.44,INR,13871.9,2302.62,0.0,441065.13,Bank credit verified via RBI UTR confirmation
rled_0000020,acc_d2c__00749,1,2026-06-07T15:00:38Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00013966,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,2632.43,INR,9161.75,21903.91,0.0,98304.48,Gross customer payment captured via UPI/RuPay for pay_00013966
rled_0000021,acc_edte_00400,1,2026-07-21T07:59:09Z,SETTLEMENT_BATCH,SETTLEMENT_CUTOFF_CLEARED,,setl_20260721_edte_0033085,MERCHANT_PENDING_SETTLEMENT,MERCHANT_AVAILABLE_FOR_PAYOUT,10663.48,INR,0.0,28902.66,0.0,124395.29,Cutoff batch setl_20260721_edte_0033085 cleared funds to available merchant balance
rled_0000022,acc_quic_00131,1,2026-04-07T01:18:45Z,PAYOUT,NODAL_PAYOUT_DISPATCHED,,setl_20260407_quic_0018748,MERCHANT_AVAILABLE_FOR_PAYOUT,NODAL_PAYOUT_IN_TRANSIT,23374.64,INR,10942.69,431.79,23374.64,289278.72,Nodal transfer dispatched via NEFT/RTGS to State Bank of India
rled_0000023,acc_d2c__00174,1,2026-07-31T04:30:22Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00018634,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,107.49,INR,7339.1,7236.33,0.0,309422.96,MDR processing fee and 18% GST assessed on pay_00018634
rled_0000024,acc_b2b__00389,1,2026-05-31T06:52:24Z,SETTLEMENT_BATCH,HOLIDAY_ROLLOVER_SETTLEMENT_HOLD,,,MERCHANT_PENDING_SETTLEMENT,MERCHANT_HOLIDAY_RESERVE,14233.04,INR,8055.91,24225.88,0.0,141394.06,Settlement held over 2nd/4th Saturday & Sunday RBI clearing rollover
rled_0000025,acc_quic_00289,1,2026-07-06T22:11:51Z,PAYOUT,NODAL_PAYOUT_DISPATCHED,,setl_20260706_quic_0000273,MERCHANT_AVAILABLE_FOR_PAYOUT,NODAL_PAYOUT_IN_TRANSIT,26334.29,INR,760.85,0.0,26334.29,179392.64,Nodal transfer dispatched via NEFT/RTGS to State Bank of India
rled_0000026,acc_gami_00604,1,2026-03-07T13:30:25Z,SETTLEMENT_BATCH,SETTLEMENT_CUTOFF_CLEARED,,setl_20260307_gami_0043210,MERCHANT_PENDING_SETTLEMENT,MERCHANT_AVAILABLE_FOR_PAYOUT,26223.54,INR,0.0,31636.27,0.0,185141.02,Cutoff batch setl_20260307_gami_0043210 cleared funds to available merchant balance
rled_0000027,acc_b2b__00777,1,2026-03-15T23:00:36Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00025965,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,2311.52,INR,7790.13,20162.99,0.0,53332.97,Gross customer payment captured via UPI/RuPay for pay_00025965
rled_0000028,acc_d2c__00499,1,2026-04-06T01:48:32Z,PAYOUT,NODAL_PAYOUT_DISPATCHED,,setl_20260406_d2c__0047562,MERCHANT_AVAILABLE_FOR_PAYOUT,NODAL_PAYOUT_IN_TRANSIT,39252.15,INR,9478.64,0.0,39252.15,115367.02,Nodal transfer dispatched via NEFT/RTGS to Kotak Mahindra Bank
rled_0000029,acc_d2c__00862,2,2026-07-22T12:50:11Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00020325,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,2689.34,INR,5705.27,1244.49,3323.74,246255.57,Gross customer payment captured via UPI/RuPay for pay_00020325
rled_0000030,acc_kira_00423,1,2026-05-10T11:46:33Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00038026,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,161.33,INR,7133.48,1329.14,0.0,233784.79,MDR processing fee and 18% GST assessed on pay_00038026
rled_0000031,acc_b2b__00698,1,2026-08-15T15:39:36Z,CAPTURE,CUSTOMER_REFUND_CLAWBACK,pay_00039926,,MERCHANT_PENDING_SETTLEMENT,NODAL_CLEARING_RECEIVABLE,2075.18,INR,89.4,13153.54,0.0,375994.21,Customer return / partial refund clawback applied on pay_00039926
rled_0000032,acc_d2c__00353,1,2026-08-10T16:42:02Z,BANK_CREDIT,BANK_CREDIT_CONFIRMED_UTR,,setl_20260810_d2c__0033820,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_BENEFICIARY_BANK,32381.81,INR,12593.8,5790.69,0.0,374952.07,Bank credit verified via RBI UTR confirmation
rled_0000033,acc_d2c__00594,1,2026-04-14T01:15:04Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00014041,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,3111.04,INR,9182.16,7713.33,0.0,119370.91,Gross customer payment captured via UPI/RuPay for pay_00014041
rled_0000034,acc_gami_00383,1,2026-07-26T01:29:57Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00008603,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,1035.05,INR,5139.65,17575.83,0.0,299300.18,Gross customer payment captured via UPI/RuPay for pay_00008603
rled_0000035,acc_d2c__00103,1,2026-07-11T03:01:41Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00000514,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,522.32,INR,11655.23,11737.03,0.0,308924.47,Gross customer payment captured via UPI/RuPay for pay_00000514
rled_0000036,acc_gami_00519,1,2026-07-20T09:12:53Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00040597,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,3962.79,INR,11592.84,10754.67,0.0,294901.53,Gross customer payment captured via UPI/RuPay for pay_00040597
rled_0000037,acc_edte_00843,1,2026-05-11T18:40:20Z,BANK_CREDIT,BANK_CREDIT_CONFIRMED_UTR,,setl_20260511_edte_0008977,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_BENEFICIARY_BANK,34948.67,INR,10606.53,6558.42,0.0,250160.25,Bank credit verified via RBI UTR confirmation
rled_0000038,acc_d2c__00300,1,2026-03-04T02:28:08Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00020626,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,3984.77,INR,14821.38,1387.25,0.0,231240.23,Gross customer payment captured via UPI/RuPay for pay_00020626
rled_0000039,acc_quic_00372,1,2026-06-15T07:12:35Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00036745,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,2200.3,INR,13029.58,23452.36,0.0,424927.54,Gross customer payment captured via UPI/RuPay for pay_00036745
rled_0000040,acc_b2b__00906,1,2026-06-05T17:19:59Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00019394,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,116.41,INR,5339.32,9702.03,0.0,283176.41,MDR processing fee and 18% GST assessed on pay_00019394
rled_0000041,acc_quic_00229,1,2026-08-02T00:38:43Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00026169,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,69.02,INR,4592.02,6631.1,0.0,341058.83,MDR processing fee and 18% GST assessed on pay_00026169
rled_0000042,acc_quic_00855,1,2026-03-08T09:02:44Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00023095,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,3018.35,INR,8889.62,16453.61,0.0,139574.19,Gross customer payment captured via UPI/RuPay for pay_00023095
rled_0000043,acc_d2c__00687,2,2026-08-19T17:12:55Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00021711,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,4090.33,INR,6544.4,6884.07,5335.57,293281.33,Gross customer payment captured via UPI/RuPay for pay_00021711
rled_0000044,acc_quic_00442,1,2026-06-18T09:48:37Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00027873,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,135.07,INR,11365.6,15713.49,0.0,278345.78,MDR processing fee and 18% GST assessed on pay_00027873
rled_0000045,acc_d2c__00142,1,2026-08-15T23:03:18Z,RECONCILIATION,SUB_PAISA_BREAKAGE_ROUNDING,,,RAZORPAY_ROUNDING_SUSPENSE,MERCHANT_PENDING_SETTLEMENT,0.0509,INR,12685.31,12879.19,0.0,72063.31,Sub-paisa GST & MDR rounding breakage balance adjustment
rled_0000046,acc_gami_00212,1,2026-05-04T08:35:44Z,SETTLEMENT_BATCH,SETTLEMENT_CUTOFF_CLEARED,,setl_20260504_gami_0045460,MERCHANT_PENDING_SETTLEMENT,MERCHANT_AVAILABLE_FOR_PAYOUT,12535.52,INR,2439.62,22924.57,0.0,121953.7,Cutoff batch setl_20260504_gami_0045460 cleared funds to available merchant balance
rled_0000047,acc_quic_00791,1,2026-05-15T09:38:30Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00026684,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,158.2,INR,4906.4,23689.26,0.0,238979.04,MDR processing fee and 18% GST assessed on pay_00026684
rled_0000048,acc_d2c__00992,1,2026-08-13T05:44:10Z,RECONCILIATION,SUB_PAISA_BREAKAGE_ROUNDING,,,RAZORPAY_ROUNDING_SUSPENSE,MERCHANT_PENDING_SETTLEMENT,0.0771,INR,11879.97,17794.44,0.0,153587.35,Sub-paisa GST & MDR rounding breakage balance adjustment
rled_0000049,acc_kira_00476,1,2026-05-14T11:40:09Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00044628,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,123.91,INR,1682.23,24190.38,0.0,280083.76,MDR processing fee and 18% GST assessed on pay_00044628
rled_0000050,acc_d2c__00174,2,2026-04-11T11:31:48Z,PAYOUT,NODAL_PAYOUT_DISPATCHED,,setl_20260411_d2c__0006927,MERCHANT_AVAILABLE_FOR_PAYOUT,NODAL_PAYOUT_IN_TRANSIT,11228.66,INR,7339.1,0.0,11228.66,309422.96,Nodal transfer dispatched via NEFT/RTGS to Axis Bank
rled_0000051,acc_gami_00143,1,2026-06-16T15:11:11Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00036914,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,2377.11,INR,6968.06,8502.6,0.0,149130.98,Gross customer payment captured via UPI/RuPay for pay_00036914
rled_0000052,acc_edte_00832,1,2026-05-08T21:18:23Z,BANK_CREDIT,BANK_CREDIT_CONFIRMED_UTR,,setl_20260508_edte_0040656,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_BENEFICIARY_BANK,18532.68,INR,2916.89,19460.3,0.0,307626.68,Bank credit verified via RBI UTR confirmation
rled_0000053,acc_kira_00138,1,2026-08-09T06:48:33Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00005616,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,68.49,INR,4421.77,10152.85,0.0,131711.97,MDR processing fee and 18% GST assessed on pay_00005616
rled_0000054,acc_edte_00510,1,2026-05-24T22:46:09Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00003618,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,107.67,INR,14172.29,12860.62,0.0,128995.74,MDR processing fee and 18% GST assessed on pay_00003618
rled_0000055,acc_d2c__00330,1,2026-08-27T09:19:06Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00012625,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,1135.24,INR,10982.62,15418.73,0.0,451429.0,Gross customer payment captured via UPI/RuPay for pay_00012625
rled_0000056,acc_kira_00729,1,2026-06-17T04:42:44Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00020529,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,113.28,INR,10447.01,2143.27,0.0,125544.28,MDR processing fee and 18% GST assessed on pay_00020529
rled_0000057,acc_d2c__00466,1,2026-03-17T11:49:39Z,SETTLEMENT_BATCH,SETTLEMENT_CUTOFF_CLEARED,,setl_20260317_d2c__0022342,MERCHANT_PENDING_SETTLEMENT,MERCHANT_AVAILABLE_FOR_PAYOUT,30615.78,INR,0.0,35107.88,0.0,485135.54,Cutoff batch setl_20260317_d2c__0022342 cleared funds to available merchant balance
rled_0000058,acc_gami_00182,1,2026-03-04T05:07:51Z,PAYOUT,NODAL_PAYOUT_DISPATCHED,,setl_20260304_gami_0019188,MERCHANT_AVAILABLE_FOR_PAYOUT,NODAL_PAYOUT_IN_TRANSIT,29247.94,INR,10308.55,0.0,29247.94,77487.51,Nodal transfer dispatched via NEFT/RTGS to Axis Bank
rled_0000059,acc_quic_00515,1,2026-08-08T01:06:15Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00002470,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,2582.87,INR,6886.3,21773.67,0.0,88515.6,Gross customer payment captured via UPI/RuPay for pay_00002470
rled_0000060,acc_quic_00189,1,2026-03-22T20:25:21Z,PAYOUT,FAILED_NODAL_TRANSFER_BOUNCE,,setl_20260322_quic_0027005,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_AVAILABLE_FOR_PAYOUT,12236.51,INR,12753.88,22612.74,0.0,167574.29,Nodal transfer bounced by beneficiary bank (Penny-drop IFSC mismatch)
rled_0000061,acc_quic_00363,1,2026-06-25T02:55:08Z,BANK_CREDIT,BANK_CREDIT_CONFIRMED_UTR,,setl_20260625_quic_0007943,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_BENEFICIARY_BANK,44201.44,INR,1556.0,15216.77,0.0,362691.53,Bank credit verified via RBI UTR confirmation
rled_0000062,acc_d2c__00039,1,2026-05-17T20:07:42Z,SETTLEMENT_BATCH,SETTLEMENT_CUTOFF_CLEARED,,setl_20260517_d2c__0035655,MERCHANT_PENDING_SETTLEMENT,MERCHANT_AVAILABLE_FOR_PAYOUT,6401.2,INR,0.0,15104.37,0.0,455217.88,Cutoff batch setl_20260517_d2c__0035655 cleared funds to available merchant balance
rled_0000063,acc_quic_00659,1,2026-04-08T21:11:17Z,BANK_CREDIT,BANK_CREDIT_CONFIRMED_UTR,,setl_20260408_quic_0015952,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_BENEFICIARY_BANK,13622.61,INR,8708.71,1753.42,0.0,465371.61,Bank credit verified via RBI UTR confirmation
rled_0000064,acc_quic_00190,1,2026-06-30T03:08:31Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00044014,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,4447.37,INR,8035.85,5449.4,0.0,66466.49,Gross customer payment captured via UPI/RuPay for pay_00044014
rled_0000065,acc_d2c__00617,1,2026-04-27T07:12:20Z,BANK_CREDIT,BANK_CREDIT_CONFIRMED_UTR,,setl_20260427_d2c__0048480,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_BENEFICIARY_BANK,12286.45,INR,501.44,4437.3,0.0,311939.7,Bank credit verified via RBI UTR confirmation
rled_0000066,acc_quic_00125,1,2026-07-21T18:11:29Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00037648,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,115.3,INR,5309.6,4481.28,0.0,89049.61,MDR processing fee and 18% GST assessed on pay_00037648
rled_0000067,acc_d2c__00232,1,2026-03-05T03:17:16Z,PAYOUT,NODAL_PAYOUT_DISPATCHED,,setl_20260305_d2c__0021445,MERCHANT_AVAILABLE_FOR_PAYOUT,NODAL_PAYOUT_IN_TRANSIT,10049.55,INR,6283.31,12251.35,10049.55,361058.11,Nodal transfer dispatched via NEFT/RTGS to Axis Bank
rled_0000068,acc_quic_00659,2,2026-05-17T16:35:18Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00005905,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,139.89,INR,8568.82,1753.42,0.0,465371.61,MDR processing fee and 18% GST assessed on pay_00005905
rled_0000069,acc_quic_00420,1,2026-03-21T21:18:12Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00014913,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,985.22,INR,5533.41,6709.45,0.0,144165.83,Gross customer payment captured via UPI/RuPay for pay_00014913
rled_0000070,acc_quic_00520,1,2026-07-19T15:22:03Z,BANK_CREDIT,BANK_CREDIT_CONFIRMED_UTR,,setl_20260719_quic_0031205,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_BENEFICIARY_BANK,4529.78,INR,1768.52,6632.14,0.0,59251.36,Bank credit verified via RBI UTR confirmation
rled_0000071,acc_b2b__00326,1,2026-08-14T23:17:14Z,DISPUTE,CHARGEBACK_DEBIT_AND_FEE,pay_00004188,,MERCHANT_AVAILABLE_FOR_PAYOUT,DISPUTE_SUSPENSE_ESCROW,1756.84,INR,5117.29,22424.68,0.0,309381.06,RBI chargeback formal claim and ₹500 dispute fee debited on pay_00004188
rled_0000072,acc_d2c__00691,1,2026-03-25T00:17:08Z,DISPUTE,CHARGEBACK_DEBIT_AND_FEE,pay_00045807,,MERCHANT_AVAILABLE_FOR_PAYOUT,DISPUTE_SUSPENSE_ESCROW,1438.6,INR,2425.05,3741.97,0.0,352860.62,RBI chargeback formal claim and ₹500 dispute fee debited on pay_00045807
rled_0000073,acc_b2b__00807,1,2026-06-01T17:49:15Z,CAPTURE,CUSTOMER_REFUND_CLAWBACK,pay_00012619,,MERCHANT_PENDING_SETTLEMENT,NODAL_CLEARING_RECEIVABLE,2069.69,INR,5779.93,5643.38,0.0,216744.28,Customer return / partial refund clawback applied on pay_00012619
rled_0000074,acc_d2c__00967,1,2026-08-04T18:17:36Z,BANK_CREDIT,BANK_CREDIT_CONFIRMED_UTR,,setl_20260804_d2c__0037269,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_BENEFICIARY_BANK,28333.93,INR,11916.76,6283.3,0.0,383470.31,Bank credit verified via RBI UTR confirmation
rled_0000075,acc_d2c__00858,1,2026-07-29T08:21:55Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00010208,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,2574.51,INR,4324.16,24408.22,0.0,436828.27,Gross customer payment captured via UPI/RuPay for pay_00010208
rled_0000076,acc_d2c__00905,1,2026-08-24T13:33:44Z,CAPTURE,MDR_FEE_AND_GST_DEDUCTED,pay_00030652,,MERCHANT_PENDING_SETTLEMENT,RAZORPAY_REVENUE_AND_GST_TAX,103.18,INR,10073.49,9361.91,0.0,363070.62,MDR processing fee and 18% GST assessed on pay_00030652
rled_0000077,acc_quic_00239,1,2026-03-06T23:48:05Z,SETTLEMENT_BATCH,SETTLEMENT_CUTOFF_CLEARED,,setl_20260306_quic_0023909,MERCHANT_PENDING_SETTLEMENT,MERCHANT_AVAILABLE_FOR_PAYOUT,33257.11,INR,0.0,41662.4,0.0,267131.87,Cutoff batch setl_20260306_quic_0023909 cleared funds to available merchant balance
rled_0000078,acc_d2c__00798,1,2026-06-24T07:17:55Z,BANK_CREDIT,BANK_CREDIT_CONFIRMED_UTR,,setl_20260624_d2c__0044896,NODAL_PAYOUT_IN_TRANSIT,MERCHANT_BENEFICIARY_BANK,35650.28,INR,8111.59,20761.35,0.0,185375.22,Bank credit verified via RBI UTR confirmation
rled_0000079,acc_kira_00454,1,2026-04-02T03:04:50Z,RECONCILIATION,SUB_PAISA_BREAKAGE_ROUNDING,,,RAZORPAY_ROUNDING_SUSPENSE,MERCHANT_PENDING_SETTLEMENT,0.0197,INR,12512.27,19359.98,0.0,111334.56,Sub-paisa GST & MDR rounding breakage balance adjustment
rled_0000080,acc_quic_00855,2,2026-08-24T12:04:11Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00018376,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,3522.59,INR,12412.21,16453.61,0.0,139574.19,Gross customer payment captured via UPI/RuPay for pay_00018376
rled_0000081,acc_d2c__00213,1,2026-07-21T08:12:47Z,CAPTURE,PAYMENT_CAPTURED_GROSS,pay_00013567,,NODAL_CLEARING_RECEIVABLE,MERCHANT_PENDING_SETTLEMENT,4182.4,INR,5930.64,7577.46,0.0,263909.97,Gross customer payment captured via UPI/RuPay for pay_00013567
