payment_id,merchant_id,order_id,entity,amount_inr,currency,status,method,method_subtype,upi_rrn_or_arn,vpa,bank_code,wallet_provider,sub_paisa_mdr_fee,base_fee_inr,gst_tax_18pct_inr,net_amount_inr,error_code,error_description,created_at,captured_at,settlement_id,settlement_status
pay_0000001354,acc_edte_00434,order_edt_854606,payment,3629.83,INR,captured,upi,upi_intent,26108899709,user993@okicici,,,79.8563,79.86,14.37,3535.6,,,2026-04-18T14:41:03Z,2026-04-18T14:41:13Z,setl_20260725_quic_0003164,settled
pay_0000001490,acc_d2c__00537,order_d2c_299351,payment,2035.95,INR,captured,netbanking,netbanking_hdfc,NB_REF_21081978,,HDFC,,38.6831,38.68,6.96,1990.31,,,2026-04-09T18:32:32Z,2026-04-09T18:32:53Z,setl_20260816_kira_0020282,settled
pay_0000001537,acc_d2c__00045,order_d2c_928539,payment,2068.87,INR,captured,upi,upi_intent,26114501172,user878@upi,,,39.3085,39.31,7.08,2022.48,,,2026-04-24T11:40:01Z,2026-04-24T11:40:32Z,setl_20260707_d2c__0003382,settled
pay_0000001696,acc_d2c__00295,order_d2c_696758,payment,2158.85,INR,captured,upi,upi_intent,26089336511,user315@upi,,,41.0181,41.02,7.38,2110.45,,,2026-03-30T07:48:07Z,2026-03-30T07:48:18Z,setl_20260329_d2c__0006065,settled
pay_0000001791,acc_quic_00739,order_qui_800310,payment,566.41,INR,captured,upi,upi_intent,26069485463,user662@paytm,,,6.7969,6.8,1.22,558.39,,,2026-03-10T17:45:16Z,2026-03-10T17:45:52Z,setl_20260804_kira_0042806,settled
pay_0000001846,acc_kira_00307,order_kir_404130,payment,-651.48,INR,refunded,upi,upi_intent,26181235249,user625@upi,,,0.0,0.0,0.0,-651.48,,,2026-06-30T07:04:36Z,2026-06-30T07:04:38Z,setl_20260519_edte_0004561,settled_refund
pay_0000001944,acc_d2c__00736,order_d2c_284241,payment,1379.87,INR,captured,card,rupay_debit,24445064857006959692635,,PUNB,,26.2175,26.22,4.72,1348.93,,,2026-05-20T21:14:18Z,2026-05-20T21:14:32Z,setl_20260625_edte_0034757,settled
pay_0000002076,acc_d2c__00217,order_d2c_894562,payment,2731.21,INR,captured,upi,upi_intent,26161676207,user409@paytm,,,51.893,51.89,9.34,2669.98,,,2026-06-10T01:38:02Z,2026-06-10T01:38:20Z,setl_20260708_edte_0047689,settled
pay_0000002157,acc_d2c__00745,order_d2c_138191,payment,3247.96,INR,captured,upi,upi_intent,26170846711,user845@upi,,,61.7112,61.71,11.11,3175.14,,,2026-06-19T11:47:21Z,2026-06-19T11:47:28Z,setl_20260406_d2c__0029837,settled
pay_0000002298,acc_quic_00605,order_qui_282216,payment,323.44,INR,captured,card,rupay_debit,24445069132562657035340,,YESB,,3.8813,3.88,0.7,318.86,,,2026-06-21T19:06:58Z,2026-06-21T19:07:27Z,setl_20260406_d2c__0018104,settled
pay_0000002337,acc_quic_00289,order_qui_750359,payment,141.07,INR,captured,card,rupay_debit,24445067498170182596959,,ICIC,,1.6928,1.69,0.3,139.08,,,2026-06-20T09:51:51Z,2026-06-20T09:51:56Z,setl_20260528_gami_0035093,settled
pay_0000002499,acc_d2c__00823,order_d2c_909392,payment,1838.82,INR,captured,wallet,wallet_paytm,WAL_TXN_88324190,,,paytm,34.9376,34.94,6.29,1797.59,,,2026-07-28T04:49:41Z,2026-07-28T04:50:01Z,setl_20260626_quic_0002130,settled
pay_0000002515,acc_kira_00776,order_kir_193219,payment,2053.0,INR,captured,netbanking,netbanking_sbi,NB_REF_94831236,,SBI,,16.424,16.42,2.96,2033.62,,,2026-05-02T00:23:15Z,2026-05-02T00:23:44Z,setl_20260416_d2c__0001199,settled
pay_0000002627,acc_b2b__00025,order_b2b_133579,payment,-6919.01,INR,refunded,netbanking,netbanking_icici,NB_REF_88857834,,ICICI,,0.0,0.0,0.0,-6919.01,,,2026-03-16T01:14:55Z,2026-03-16T01:14:57Z,setl_20260824_kira_0024752,settled_refund
pay_0000002737,acc_quic_00416,order_qui_748607,payment,848.4,INR,captured,upi,upi_collect,26135356924,user887@okicici,,,10.1808,10.18,1.83,836.39,,,2026-05-15T21:47:31Z,2026-05-15T21:48:00Z,setl_20260528_d2c__0047944,settled
pay_0000002875,acc_b2b__00631,order_b2b_657318,payment,54241.85,INR,captured,upi,upi_intent,26135438625,user155@okhdfcbank,,,813.6277,813.63,146.45,53281.77,,,2026-05-15T07:30:38Z,2026-05-15T07:31:08Z,setl_20260328_d2c__0016867,settled
pay_0000002910,acc_d2c__00883,order_d2c_395730,payment,1160.06,INR,captured,upi,upi_intent,26098848220,user316@ibl,,,22.0411,22.04,3.97,1134.05,,,2026-04-08T06:16:23Z,2026-04-08T06:16:52Z,setl_20260320_edte_0018695,settled
pay_0000003058,acc_kira_00611,order_kir_604064,payment,761.58,INR,captured,upi,upi_collect,26096150455,user173@paytm,,,6.0926,6.09,1.1,754.39,,,2026-04-06T01:50:38Z,2026-04-06T01:50:47Z,setl_20260519_quic_0023693,settled
pay_0000003114,acc_d2c__00713,order_d2c_106603,payment,3360.93,INR,captured,upi,upi_intent,26070937218,user568@okicici,,,63.8577,63.86,11.49,3285.58,,,2026-03-11T09:41:45Z,2026-03-11T09:41:54Z,setl_20260501_b2b__0031678,settled
pay_0000003279,acc_quic_00097,order_qui_879685,payment,259.71,INR,captured,upi,upi_intent,26194999062,user207@ibl,,,3.1165,3.12,0.56,256.03,,,2026-07-13T03:44:26Z,2026-07-13T03:44:50Z,setl_20260623_kira_0023861,settled
pay_0000003386,acc_kira_00046,order_kir_705859,payment,3534.42,INR,captured,upi,upi_collect,26216792741,user233@upi,,,28.2754,28.28,5.09,3501.05,,,2026-08-04T16:59:40Z,2026-08-04T16:59:56Z,setl_20260401_d2c__0037133,settled
pay_0000003493,acc_kira_00772,order_kir_691796,payment,367.25,INR,captured,emi,cardless_emi_simpl,EMI_AGR_27827784,,,,2.938,2.94,0.53,363.78,,,2026-08-09T06:59:26Z,2026-08-09T06:59:59Z,setl_20260414_d2c__0049753,settled
pay_0000003590,acc_d2c__00989,order_d2c_992612,payment,-1471.89,INR,refunded,upi,upi_intent,26128628678,user466@okicici,,,0.0,0.0,0.0,-1471.89,,,2026-05-08T02:39:03Z,2026-05-08T02:39:05Z,setl_20260521_quic_0040223,settled_refund
pay_0000003614,acc_edte_00625,order_edt_894057,payment,17705.42,INR,captured,card,rupay_debit,24445064208077428763007,,SBIN,,389.5192,389.52,70.11,17245.79,,,2026-04-05T21:00:10Z,2026-04-05T21:00:20Z,setl_20260531_quic_0011922,settled
pay_0000003786,acc_d2c__00666,order_d2c_944872,payment,3494.68,INR,captured,upi,upi_collect,26132927137,user260@okaxis,,,66.3989,66.4,11.95,3416.33,,,2026-05-12T07:19:18Z,2026-05-12T07:19:38Z,setl_20260630_quic_0034252,settled
pay_0000003821,acc_edte_00975,order_edt_780366,payment,9588.68,INR,captured,card,visa_credit,24445067399410952820802,,YESB,,210.951,210.95,37.97,9339.76,,,2026-08-10T00:46:34Z,2026-08-10T00:46:38Z,setl_20260712_edte_0043959,settled
pay_0000003976,acc_gami_00212,order_gam_691678,payment,680.55,INR,captured,netbanking,netbanking_hdfc,NB_REF_41783274,,HDFC,,20.4165,20.42,3.68,656.45,,,2026-07-13T18:32:11Z,2026-07-13T18:32:44Z,setl_20260617_kira_0049026,settled
pay_0000004070,acc_kira_00027,order_kir_343387,payment,2399.84,INR,captured,upi,upi_intent,26171568432,user527@ibl,,,19.1987,19.2,3.46,2377.18,,,2026-06-20T15:43:27Z,2026-06-20T15:44:03Z,setl_20260702_quic_0018306,settled
pay_0000004195,acc_d2c__00440,order_d2c_623575,payment,1144.83,INR,captured,card,rupay_debit,24445063515684233190940,,YESB,,21.7518,21.75,3.92,1119.16,,,2026-06-17T22:14:09Z,2026-06-17T22:14:14Z,setl_20260525_d2c__0027598,settled
pay_0000004271,acc_quic_00951,order_qui_176067,payment,524.22,INR,captured,upi,upi_intent,26107768576,user411@upi,,,6.2906,6.29,1.13,516.8,,,2026-04-17T15:42:38Z,2026-04-17T15:43:00Z,setl_20260408_edte_0007944,settled
pay_0000004317,acc_b2b__00869,order_b2b_120449,payment,-68176.06,INR,refunded,card,mastercard_credit,24445063546041110262720,,PUNB,,0.0,0.0,0.0,-68176.06,,,2026-05-25T20:31:09Z,2026-05-25T20:31:11Z,setl_20260404_edte_0013245,settled_refund
pay_0000004411,acc_d2c__00445,order_d2c_784270,payment,-180.04,INR,refunded,card,visa_credit,24445063565428469778714,,YESB,,0.0,0.0,0.0,-180.04,,,2026-03-29T09:47:28Z,2026-03-29T09:47:30Z,setl_20260815_b2b__0019480,settled_refund
pay_0000004520,acc_b2b__00134,order_b2b_519189,payment,51151.69,INR,captured,card,visa_credit,24445066956429430576473,,SBIN,,767.2754,767.28,138.11,50246.3,,,2026-05-27T09:02:11Z,2026-05-27T09:02:21Z,,pending_batch_post_cutoff
pay_0000004697,acc_d2c__00009,order_d2c_274488,payment,-294.9,INR,refunded,card,visa_credit,24445062560771445419203,,KKBK,,0.0,0.0,0.0,-294.9,,,2026-03-18T22:16:34Z,2026-03-18T22:16:36Z,setl_20260814_quic_0004380,settled_refund
pay_0000004735,acc_edte_00866,order_edt_955328,payment,5952.3,INR,captured,netbanking,netbanking_icici,NB_REF_36493981,,ICICI,,130.9506,130.95,23.57,5797.78,,,2026-04-17T06:32:08Z,2026-04-17T06:32:41Z,setl_20260617_quic_0019288,settled
pay_0000004887,acc_edte_00018,order_edt_157137,payment,6276.42,INR,captured,card,visa_credit,24445068532450157645685,,HDFC,,138.0812,138.08,24.85,6113.49,,,2026-07-31T03:21:23Z,2026-07-31T03:21:47Z,setl_20260324_quic_0036998,settled
pay_0000004946,acc_gami_00274,order_gam_816415,payment,1400.9,INR,captured,upi,upi_intent,26172929113,user909@upi,,,42.027,42.03,7.57,1351.3,,,2026-06-21T13:13:47Z,2026-06-21T13:14:18Z,setl_20260706_d2c__0048676,settled
pay_0000005055,acc_edte_00044,order_edt_676259,payment,1886.71,INR,captured,upi,upi_intent,26161402111,user621@okaxis,,,41.5076,41.51,7.47,1837.73,,,2026-06-10T22:09:35Z,2026-06-10T22:09:40Z,setl_20260731_edte_0014465,settled
pay_0000005170,acc_d2c__00530,order_d2c_865400,payment,1674.71,INR,captured,upi,upi_intent,26094985299,user200@paytm,,,31.8195,31.82,5.73,1637.16,,,2026-04-04T06:03:33Z,2026-04-04T06:03:45Z,setl_20260706_d2c__0018318,settled
pay_0000005285,acc_quic_00137,order_qui_541300,payment,651.53,INR,captured,upi,upi_intent,26143852206,user393@upi,,,7.8184,7.82,1.41,642.3,,,2026-05-23T01:28:55Z,2026-05-23T01:29:28Z,setl_20260411_quic_0004437,settled
pay_0000005397,acc_d2c__00862,order_d2c_334820,payment,3215.89,INR,captured,upi,upi_intent,26077298558,user471@ibl,,,61.1019,61.1,11.0,3143.79,,,2026-03-18T23:18:12Z,2026-03-18T23:18:20Z,setl_20260319_quic_0039492,settled
pay_0000005458,acc_kira_00564,order_kir_216123,payment,1235.91,INR,failed,upi,upi_intent,26190427938,user839@ybl,,,0.0,0.0,0.0,0.0,BAD_REQUEST_ERROR,U30: EXCEEDED_TXN_LIMIT_SET_BY_PSP,2026-07-09T12:53:18Z,,,unbatchable_failed
pay_0000005595,acc_d2c__00345,order_d2c_914713,payment,2330.69,INR,captured,card,rupay_debit,24445066020314413945980,,ICIC,,44.2831,44.28,7.97,2278.44,,,2026-03-19T05:05:42Z,2026-03-19T05:06:06Z,setl_20260423_quic_0030970,settled
pay_0000005654,acc_d2c__00030,order_d2c_587995,payment,1236.41,INR,captured,upi,upi_intent,26192440309,user186@upi,,,23.4918,23.49,4.23,1208.69,,,2026-07-11T18:16:52Z,2026-07-11T18:17:06Z,setl_20260310_d2c__0028071,settled
pay_0000005711,acc_gami_00050,order_gam_422609,payment,1501.97,INR,failed,upi,upi_collect,26096369600,user814@upi,,,0.0,0.0,0.0,0.0,BAD_REQUEST_ERROR,U69: COLLECT_REQUEST_REJECTED_BY_USER,2026-04-06T12:38:34Z,,,unbatchable_failed
pay_0000005897,acc_gami_00143,order_gam_154096,payment,1079.03,INR,captured,upi,upi_intent,26213892666,user340@okaxis,,,32.3709,32.37,5.83,1040.83,,,2026-08-01T14:41:37Z,2026-08-01T14:41:51Z,setl_20260305_b2b__0041307,settled
pay_0000005982,acc_d2c__00939,order_d2c_520158,payment,254.65,INR,captured,card,mastercard_credit,24445069948271211457500,,KKBK,,4.8384,4.84,0.87,248.94,,,2026-06-18T01:12:26Z,2026-06-18T01:12:31Z,setl_20260305_kira_0028868,settled
pay_0000006024,acc_b2b__00505,order_b2b_552306,payment,61811.1,INR,captured,upi,upi_collect,26070953590,user465@ybl,,,927.1665,927.17,166.89,60717.04,,,2026-03-11T03:39:31Z,2026-03-11T03:40:08Z,setl_20260307_b2b__0024291,settled
pay_0000006178,acc_d2c__00899,order_d2c_105188,payment,-2195.93,INR,refunded,card,rupay_debit,24445067218389427698276,,ICIC,,0.0,0.0,0.0,-2195.93,,,2026-08-17T06:26:38Z,2026-08-17T06:26:40Z,setl_20260321_quic_0035691,settled_refund
pay_0000006270,acc_d2c__00103,order_d2c_228356,payment,701.86,INR,captured,netbanking,netbanking_icici,NB_REF_23526472,,ICICI,,13.3353,13.34,2.4,686.12,,,2026-06-01T07:33:04Z,2026-06-01T07:33:40Z,setl_20260501_quic_0017746,settled
pay_0000006331,acc_kira_00406,order_kir_341411,payment,349.38,INR,captured,upi,upi_intent,26213167851,user201@ybl,,,2.795,2.8,0.5,346.08,,,2026-08-01T06:22:07Z,2026-08-01T06:22:41Z,setl_20260620_quic_0029474,settled
pay_0000006463,acc_d2c__00258,order_d2c_698595,payment,-1226.41,INR,refunded,card,rupay_debit,24445062901162461367795,,SBIN,,0.0,0.0,0.0,-1226.41,,,2026-06-09T16:06:37Z,2026-06-09T16:06:39Z,setl_20260407_kira_0002099,settled_refund
pay_0000006528,acc_edte_00957,order_edt_566571,payment,14796.54,INR,captured,upi,upi_intent,26186825899,user206@okaxis,,,325.5239,325.52,58.59,14412.43,,,2026-07-05T09:45:31Z,2026-07-05T09:45:41Z,setl_20260428_quic_0009038,settled
pay_0000006695,acc_d2c__00617,order_d2c_370186,payment,1622.12,INR,captured,upi,upi_collect,26081457647,user450@ybl,,,30.8203,30.82,5.55,1585.75,,,2026-03-22T13:11:15Z,2026-03-22T13:11:30Z,setl_20260826_gami_0014935,settled
pay_0000006748,acc_d2c__00537,order_d2c_569565,payment,142.22,INR,captured,card,visa_credit,24445063761601763628329,,ICIC,,2.7022,2.7,0.49,139.03,,,2026-06-29T06:47:05Z,2026-06-29T06:47:35Z,setl_20260401_kira_0017387,settled
pay_0000006839,acc_d2c__00127,order_d2c_246058,payment,2956.43,INR,captured,upi,upi_collect,26229921773,user956@okaxis,,,56.1722,56.17,10.11,2890.15,,,2026-08-17T08:49:47Z,2026-08-17T08:50:14Z,setl_20260808_kira_0048402,settled
pay_0000006954,acc_d2c__00565,order_d2c_364249,payment,3240.82,INR,captured,upi,upi_intent,26065734449,user894@paytm,,,61.5756,61.58,11.08,3168.16,,,2026-03-06T10:27:09Z,2026-03-06T10:27:22Z,setl_20260817_quic_0039210,settled
pay_0000007025,acc_quic_00627,order_qui_818178,payment,649.6,INR,captured,upi,upi_collect,26066194124,user583@upi,,,7.7952,7.8,1.4,640.4,,,2026-03-07T14:13:54Z,2026-03-07T14:13:57Z,setl_20260819_gami_0038668,settled
pay_0000007124,acc_b2b__00294,order_b2b_335922,payment,45238.79,INR,captured,upi,upi_collect,26222517340,user407@paytm,,,678.5819,678.58,122.14,44438.07,,,2026-08-10T21:32:02Z,2026-08-10T21:32:15Z,setl_20260313_d2c__0018219,settled
pay_0000007217,acc_kira_00021,order_kir_662704,payment,3454.33,INR,captured,upi,upi_intent,26189535079,user525@okaxis,,,27.6346,27.63,4.97,3421.73,,,2026-07-08T04:18:51Z,2026-07-08T04:19:18Z,setl_20260409_d2c__0028460,settled
pay_0000007382,acc_kira_00539,order_kir_244558,payment,2710.45,INR,captured,upi,upi_intent,26170653139,user255@okicici,,,21.6836,21.68,3.9,2684.87,,,2026-06-19T01:57:16Z,2026-06-19T01:57:28Z,setl_20260818_quic_0025220,settled
pay_0000007477,acc_d2c__00900,order_d2c_602754,payment,2666.34,INR,captured,netbanking,netbanking_hdfc,NB_REF_34544878,,HDFC,,50.6605,50.66,9.12,2606.56,,,2026-04-23T13:00:51Z,2026-04-23T13:01:10Z,setl_20260312_quic_0016717,settled
pay_0000007552,acc_d2c__00540,order_d2c_760153,payment,757.27,INR,captured,upi,upi_intent,26153355195,user661@ybl,,,14.3881,14.39,2.59,740.29,,,2026-06-02T08:23:18Z,2026-06-02T08:23:57Z,setl_20260510_edte_0049402,settled
pay_0000007629,acc_quic_00804,order_qui_539555,payment,558.14,INR,captured,netbanking,netbanking_sbi,NB_REF_62742408,,SBI,,6.6977,6.7,1.21,550.23,,,2026-06-30T07:11:00Z,2026-06-30T07:11:21Z,setl_20260806_edte_0020569,settled
pay_0000007714,acc_b2b__00336,order_b2b_834277,payment,17628.76,INR,captured,netbanking,netbanking_hdfc,NB_REF_10820529,,HDFC,,264.4314,264.43,47.6,17316.73,,,2026-07-16T01:50:26Z,2026-07-16T01:50:43Z,setl_20260701_b2b__0001384,settled
pay_0000007886,acc_quic_00801,order_qui_948651,payment,635.39,INR,captured,upi,upi_intent,26087783989,user605@upi,,,7.6247,7.62,1.37,626.4,,,2026-03-28T12:27:01Z,2026-03-28T12:27:39Z,setl_20260805_d2c__0027879,settled
pay_0000007988,acc_kira_00651,order_kir_129660,payment,256.05,INR,captured,upi,upi_intent,26115359076,user447@ybl,,,2.0484,2.05,0.37,253.63,,,2026-04-25T05:33:07Z,2026-04-25T05:33:14Z,setl_20260617_quic_0028227,settled
pay_0000008085,acc_d2c__00350,order_d2c_750082,payment,1954.0,INR,captured,upi,upi_collect,26211247283,user348@okhdfcbank,,,37.126,37.13,6.68,1910.19,,,2026-07-30T04:11:49Z,2026-07-30T04:12:27Z,setl_20260505_d2c__0045738,settled
pay_0000008154,acc_quic_00961,order_qui_595035,payment,781.97,INR,captured,upi,upi_intent,26210978938,user285@paytm,,,9.3836,9.38,1.69,770.9,,,2026-07-29T23:36:12Z,2026-07-29T23:36:44Z,setl_20260813_kira_0033538,settled
pay_0000008236,acc_d2c__00482,order_d2c_620634,payment,2284.22,INR,captured,wallet,wallet_paytm,WAL_TXN_51101503,,,paytm,43.4002,43.4,7.81,2233.01,,,2026-08-13T08:23:55Z,2026-08-13T08:23:58Z,setl_20260725_d2c__0025639,settled
pay_0000008330,acc_kira_00732,order_kir_991385,payment,3613.5,INR,captured,card,rupay_debit,24445062642162341139551,,ICIC,,28.908,28.91,5.2,3579.39,,,2026-08-17T11:29:58Z,2026-08-17T11:30:20Z,setl_20260803_edte_0005223,settled
pay_0000008467,acc_edte_00909,order_edt_734706,payment,24128.17,INR,captured,upi,upi_intent,26081759456,user928@ibl,,,530.8197,530.82,95.55,23501.8,,,2026-03-22T22:47:50Z,2026-03-22T22:48:06Z,setl_20260728_quic_0037686,settled
pay_0000008517,acc_edte_00109,order_edt_421529,payment,17804.5,INR,captured,upi,upi_intent,26097239469,user815@okhdfcbank,,,391.699,391.7,70.51,17342.29,,,2026-04-07T01:44:41Z,2026-04-07T01:45:21Z,setl_20260528_gami_0049632,settled
pay_0000008663,acc_kira_00720,order_kir_869041,payment,3008.76,INR,captured,card,mastercard_credit,24445067839604435638934,,ICIC,,24.0701,24.07,4.33,2980.36,,,2026-07-16T20:57:01Z,2026-07-16T20:57:13Z,setl_20260329_quic_0041015,settled
pay_0000008719,acc_edte_00202,order_edt_754262,payment,19442.2,INR,captured,wallet,wallet_phonepe,WAL_TXN_58446989,,,phonepe,427.7284,427.73,76.99,18937.48,,,2026-06-30T18:08:12Z,2026-06-30T18:08:24Z,setl_20260326_d2c__0004094,settled
pay_0000008850,acc_quic_00820,order_qui_485672,payment,666.37,INR,captured,upi,upi_intent,26227473580,user995@okaxis,,,7.9964,8.0,1.44,656.93,,,2026-08-15T08:52:04Z,2026-08-15T08:52:41Z,setl_20260527_gami_0009383,settled
pay_0000008977,acc_quic_00820,order_qui_451062,payment,534.58,INR,captured,upi,upi_intent,26234644611,user694@okicici,,,6.415,6.41,1.15,527.02,,,2026-08-22T22:09:44Z,2026-08-22T22:10:15Z,setl_20260815_d2c__0005338,settled
pay_0000009098,acc_quic_00865,order_qui_885303,payment,462.81,INR,captured,card,rupay_debit,24445062108616762931465,,ICIC,,5.5537,5.55,1.0,456.26,,,2026-08-21T19:48:19Z,2026-08-21T19:48:32Z,setl_20260407_d2c__0030313,settled
pay_0000009176,acc_d2c__00095,order_d2c_863467,payment,1061.13,INR,captured,card,rupay_debit,24445061049233400175650,,YESB,,20.1615,20.16,3.63,1037.34,,,2026-04-07T00:29:36Z,2026-04-07T00:30:11Z,setl_20260723_quic_0017612,settled
pay_0000009226,acc_d2c__00216,order_d2c_383684,payment,2868.79,INR,captured,upi,upi_intent,26080172776,user248@okicici,,,54.507,54.51,9.81,2804.47,,,2026-03-21T17:18:52Z,2026-03-21T17:18:59Z,setl_20260725_gami_0040486,settled
pay_0000009311,acc_b2b__00536,order_b2b_509213,payment,11059.24,INR,captured,upi,upi_intent,26145379889,user547@paytm,,,165.8886,165.89,29.86,10863.49,,,2026-05-25T04:23:33Z,2026-05-25T04:23:38Z,setl_20260316_quic_0006827,settled
pay_0000009427,acc_d2c__00095,order_d2c_579087,payment,236.68,INR,captured,upi,upi_intent,26223691961,user487@ybl,,,4.4969,4.5,0.81,231.37,,,2026-08-11T10:46:33Z,2026-08-11T10:46:52Z,setl_20260729_kira_0029429,settled
pay_0000009514,acc_gami_00953,order_gam_289434,payment,87.62,INR,captured,card,visa_credit,24445065300766345163985,,HDFC,,2.6286,2.63,0.47,84.52,,,2026-06-05T02:06:59Z,2026-06-05T02:07:15Z,setl_20260826_edte_0044064,settled
pay_0000009620,acc_quic_00970,order_qui_186656,payment,809.97,INR,captured,upi,upi_intent,26091219243,user548@upi,,,9.7196,9.72,1.75,798.5,,,2026-04-01T07:51:49Z,2026-04-01T07:52:24Z,setl_20260728_d2c__0023056,settled
pay_0000009774,acc_d2c__00148,order_d2c_128850,payment,2617.88,INR,captured,upi,upi_collect,26109786678,user889@ibl,,,49.7397,49.74,8.95,2559.19,,,2026-04-19T15:06:27Z,2026-04-19T15:07:03Z,setl_20260709_d2c__0021695,settled
pay_0000009861,acc_quic_00810,order_qui_762674,payment,705.43,INR,captured,emi,cardless_emi_simpl,EMI_AGR_54075524,,,,8.4652,8.47,1.52,695.44,,,2026-08-06T03:09:37Z,2026-08-06T03:09:51Z,setl_20260716_d2c__0021862,settled
pay_0000009935,acc_d2c__00666,order_d2c_106336,payment,1019.68,INR,captured,card,rupay_debit,24445063602521814765986,,UTIB,,19.3739,19.37,3.49,996.82,,,2026-03-09T02:54:05Z,2026-03-09T02:54:14Z,setl_20260620_gami_0012262,settled
pay_0000010031,acc_quic_00485,order_qui_466582,payment,437.44,INR,captured,upi,upi_intent,26218130568,user568@okicici,,,5.2493,5.25,0.94,431.25,,,2026-08-06T07:45:26Z,2026-08-06T07:46:00Z,setl_20260527_b2b__0003733,settled
pay_0000010118,acc_b2b__00954,order_b2b_119430,payment,38383.97,INR,captured,upi,upi_collect,26093289700,user335@ibl,,,575.7595,575.76,103.64,37704.57,,,2026-04-03T19:26:02Z,2026-04-03T19:26:21Z,setl_20260507_edte_0029831,settled
pay_0000010277,acc_kira_00307,order_kir_452395,payment,-726.74,INR,refunded,card,rupay_debit,24445066483688629361762,,HDFC,,0.0,0.0,0.0,-726.74,,,2026-07-16T21:15:08Z,2026-07-16T21:15:10Z,setl_20260327_gami_0011792,settled_refund
pay_0000010313,acc_kira_00985,order_kir_149103,payment,2813.79,INR,captured,upi,upi_intent,26191757196,user702@paytm,,,22.5103,22.51,4.05,2787.23,,,2026-07-10T01:22:25Z,2026-07-10T01:22:40Z,setl_20260804_b2b__0042310,settled
pay_0000010442,acc_gami_00251,order_gam_859579,payment,1947.88,INR,captured,netbanking,netbanking_hdfc,NB_REF_16102197,,HDFC,,58.4364,58.44,10.52,1878.92,,,2026-03-12T17:14:26Z,2026-03-12T17:14:48Z,setl_20260506_edte_0021798,settled
